species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,39.1,18.7,181,3750,male
Adelie,Torgersen,39.5,17.4,186,3800,female
Adelie,Torgersen,40.3,18,195,3250,female
Adelie,Torgersen,36.7,19.3,193,3450,female
Adelie,Torgersen,39.3,20.6,190,3650,male
Adelie,Torgersen,38.9,17.8,181,3625,female
Adelie,Torgersen,39.2,19.6,195,4675,male
Adelie,Torgersen,41.1,17.6,182,3200,female
Adelie,Torgersen,38.6,21.2,191,3800,male
Adelie,Torgersen,34.6,21.1,198,4400,male
Adelie,Torgersen,36.6,17.8,185,3700,female
Adelie,Torgersen,38.7,19,195,3450,female
Adelie,Torgersen,42.5,20.7,197,4500,male
Adelie,Torgersen,34.4,18.4,184,3325,female
Adelie,Torgersen,46,21.5,194,4200,male
Adelie,Biscoe,37.8,18.3,174,3400,female
Adelie,Biscoe,37.7,18.7,180,3600,male
Adelie,Biscoe,35.9,19.2,189,3800,female
Adelie,Biscoe,38.2,18.1,185,3950,male
Adelie,Biscoe,38.8,17.2,180,3800,male
Adelie,Biscoe,35.3,18.9,187,3800,female
Adelie,Biscoe,40.6,18.6,183,3550,male
Adelie,Biscoe,40.5,17.9,187,3200,female
Adelie,Biscoe,37.9,18.6,172,3150,female
Adelie,Biscoe,40.5,18.9,180,3950,male
Adelie,Dream,39.5,16.7,178,3250,female
Adelie,Dream,37.2,18.1,178,3900,male
Adelie,Dream,39.5,17.8,188,3300,female
Adelie,Dream,40.9,18.9,184,3900,male
Adelie,Dream,36.4,17,195,3325,female
Adelie,Dream,39.2,21.1,196,4150,male
Adelie,Dream,38.8,20,190,3950,male
Adelie,Dream,42.2,18.5,180,3550,female
Adelie,Dream,37.6,19.3,181,3300,female
Adelie,Dream,39.8,19.1,184,4650,male
Adelie,Dream,36.5,18,182,3150,female
Adelie,Dream,40.8,18.4,195,3900,male
Adelie,Dream,36,18.5,186,3100,female
Adelie,Dream,44.1,19.7,196,4400,male
Adelie,Dream,37,16.9,185,3000,female
Adelie,Dream,39.6,18.8,190,4600,male
Adelie,Dream,41.1,19,182,3425,male
Adelie,Dream,36,17.9,190,3450,female
Adelie,Dream,42.3,21.2,191,4150,male
